level_id,session_date,year,side,entry_time,exit_time,entry_price,exit_price,level,anchor,cap,exit_reason,pnl,gap_through,source
231_upper,2018-11-26,2018,upper,2018-11-26 03:15:00-05:00,2018-11-26 10:00:00-05:00,6623.8814122187305,6660.2564122187305,6623.8814122187305,24.25,36.375,SL,-36.375,False,build_years
233_upper,2018-11-28,2018,upper,2018-11-28 01:10:00-05:00,2018-11-28 03:10:00-05:00,6735.842929241806,6720.092929241806,6735.842929241806,7.0,10.5,TP,15.75,False,build_years
242_upper,2018-12-11,2018,upper,2018-12-11 05:53:00-05:00,2018-12-11 08:26:00-05:00,6741.269055832232,6785.519055832232,6741.269055832232,29.5,44.25,SL,-44.25,False,build_years
245_lower,2018-12-14,2018,lower,2018-12-13 21:06:00-05:00,2018-12-14 00:49:00-05:00,6708.7658878650445,6708.7658878650445,6708.7658878650445,46.25,69.375,BE,0.0,False,build_years
234_lower,2018-12-17,2018,lower,2018-12-17 09:53:00-05:00,2018-12-17 10:15:00-05:00,6528.160513975401,6592.285513975401,6528.160513975401,28.5,42.75,TP,64.125,False,build_years
254_upper,2018-12-28,2018,upper,2018-12-27 23:30:00-05:00,2018-12-28 01:04:00-05:00,6340.354224240451,6299.854224240451,6340.354224240451,18.0,27.0,TP,40.5,False,build_years
256_lower,2019-01-02,2019,lower,2019-01-02 03:03:00-05:00,2019-01-02 03:21:00-05:00,6238.169923802291,6195.044923802291,6238.169923802291,28.75,43.125,SL,-43.125,False,validation
255_lower,2019-01-02,2019,lower,2019-01-02 03:22:00-05:00,2019-01-02 09:45:00-05:00,6185.839423975138,6250.526923975138,6185.839423975138,28.75,43.125,TP,64.6875,False,validation
250_upper,2019-01-07,2019,upper,2019-01-06 19:03:00-05:00,2019-01-06 19:20:00-05:00,6469.258199892534,6492.133199892534,6469.258199892534,15.25,22.875,SL,-22.875,False,validation
265_upper,2019-01-15,2019,upper,2019-01-15 09:36:00-05:00,2019-01-15 10:00:00-05:00,6623.795237270195,6651.920237270195,6623.795237270195,18.75,28.125,SL,-28.125,False,validation
247_upper,2019-01-16,2019,upper,2019-01-16 09:33:00-05:00,2019-01-16 09:41:00-05:00,6698.710922106751,6711.085922106751,6698.710922106751,8.25,12.375,SL,-12.375,False,validation
266_upper,2019-01-16,2019,upper,2019-01-16 09:46:00-05:00,2019-01-16 09:46:00-05:00,6720.912585668611,6733.287585668611,6720.912585668611,8.25,12.375,SL,-12.375,False,validation
