touched_at,year,side,z_gate,gate_pass,cap_5min,cap_30min,cap_1h,cap_4h,entry,sign
2023-10-17 22:06:00-04:00,2023,upper,1.9158705573701291,False,1.5,4.2999999999999545,13.5,3.2999999999999545,1953.150774340327,-1.0
2023-09-27 12:11:00-04:00,2023,lower,-1.3743808410311804,False,1.0,2.7999999999999545,5.400000000000091,13.900000000000091,1897.199225659673,1.0
2023-10-13 11:29:00-04:00,2023,upper,1.069998061590151,False,1.400000000000091,8.399999999999864,13.700000000000045,18.299999999999955,1935.7310737633443,-1.0
2023-09-28 11:12:00-04:00,2023,lower,-4.082551197714762,False,3.0,7.2000000000000455,11.400000000000091,3.599999999999909,1876.6189262366556,1.0
2023-10-13 08:30:00-04:00,2023,upper,4.978592071173593,False,8.299999999999955,11.0,12.799999999999955,18.299999999999955,1920.6432237476795,-1.0
2023-09-29 14:37:00-04:00,2023,lower,-0.9467909687352835,False,0.7000000000000455,4.0,4.2000000000000455,28.40000000000009,1862.3567762523205,1.0
2023-10-13 08:27:00-04:00,2023,upper,1.6710652683333231,False,2.7000000000000455,7.399999999999864,12.799999999999955,18.299999999999955,1919.0001620649605,-1.0
2023-10-09 20:06:00-04:00,2023,upper,1.898875653348998,False,1.7999999999999545,1.699999999999818,2.5,3.0,1878.4278817046243,-1.0
2023-10-09 14:56:00-04:00,2023,upper,0.9537113610230381,False,0.6999999999998181,1.099999999999909,5.400000000000091,9.5,1871.0262654399023,-1.0
2023-10-11 06:23:00-04:00,2023,upper,1.3241008667954959,False,1.2000000000000455,1.800000000000182,2.1000000000001364,10.099999999999909,1885.1153605939965,-1.0
2023-10-12 07:15:00-04:00,2023,upper,1.6984018104413605,False,0.7000000000000455,1.599999999999909,2.099999999999909,5.900000000000091,1895.6797235990502,-1.0
2023-10-13 07:55:00-04:00,2023,upper,3.4482986464548167,False,2.7000000000000455,6.7999999999999545,3.099999999999909,9.799999999999955,1911.0345509120425,-1.0
2023-10-13 08:26:00-04:00,2023,upper,1.6710652683333231,False,2.7000000000000455,7.399999999999864,12.799999999999955,18.299999999999955,1915.1750650727033,-1.0
2023-10-17 21:28:00-04:00,2023,upper,2.71481480747302,False,1.099999999999909,3.400000000000091,5.400000000000091,3.2999999999999545,1949.5603479138051,-1.0
2023-10-18 08:03:00-04:00,2023,upper,1.2078746150900193,False,0.7000000000000455,3.6000000000001364,3.6000000000001364,10.5,1960.9977136173372,-1.0
2023-10-18 09:38:00-04:00,2023,upper,3.622987643854843,False,3.7000000000000455,3.900000000000091,5.7999999999999545,10.5,1969.6471029487238,-1.0
2023-10-20 10:00:00-04:00,2023,upper,3.0867445205422546,False,3.900000000000091,11.100000000000136,12.200000000000045,9.799999999999955,2000.8852914624256,-1.0
2023-10-20 04:21:00-04:00,2023,upper,2.9764292501060416,False,2.1000000000001364,2.900000000000091,4.0,8.099999999999909,1996.1286926822486,-1.0
2023-11-08 14:34:00-05:00,2023,lower,-1.3292864158745408,False,1.400000000000091,2.7999999999999545,4.0,,1954.8703348272606,1.0
2023-11-09 03:13:00-05:00,2023,lower,-0.8924702327578664,False,1.300000000000182,1.3999999999998636,1.8999999999998636,,1952.1056886095796,1.0
2023-10-27 13:39:00-04:00,2023,upper,3.938126711027872,False,4.300000000000182,5.900000000000091,4.7999999999999545,9.799999999999955,2006.5791731870802,-1.0
2023-11-10 11:36:00-05:00,2023,lower,-1.720851212380718,False,1.599999999999909,5.7000000000000455,8.099999999999909,,1941.3708268129196,1.0
