sess_date,year,side,touched_at,exit_ts,level,anchor,stop_pts,pnl
2025-09-05,2025,upper,2025-09-04 21:00:00-04:00,2025-09-05 15:00:00-04:00,6519.789490920313,5.25,7.875,-7.875
2025-09-10,2025,upper,2025-09-10 07:40:00-04:00,2025-09-10 15:00:00-04:00,6543.930830715833,5.5,8.25,-8.25
2025-09-15,2025,upper,2025-09-14 20:00:00-04:00,2025-09-15 15:00:00-04:00,6635.06838763645,5.5,8.25,-8.25
2025-09-18,2025,upper,2025-09-18 04:51:00-04:00,2025-09-18 15:00:00-04:00,6716.627104363954,13.25,19.875,19.875
2025-09-25,2025,lower,2025-09-25 07:58:00-04:00,2025-09-25 15:00:00-04:00,6662.712531792543,10.25,15.375,-15.375
2025-09-29,2025,upper,2025-09-29 04:36:00-04:00,2025-09-29 15:00:00-04:00,6727.943407145828,9.5,14.25,14.25
2025-10-02,2025,upper,2025-10-02 04:07:00-04:00,2025-10-02 15:00:00-04:00,6773.672135527442,7.0,10.5,10.5
2025-10-02,2025,upper,2025-10-02 04:22:00-04:00,2025-10-02 15:00:00-04:00,6774.612292357101,7.0,10.5,10.5
2025-10-02,2025,upper,2025-10-02 09:01:00-04:00,2025-10-02 15:00:00-04:00,6781.787468207457,4.75,7.125,7.125
2025-10-14,2025,lower,2025-10-14 09:45:00-04:00,2025-10-14 15:00:00-04:00,6593.312533059333,24.5,36.75,36.75
2025-10-15,2025,upper,2025-10-15 05:12:00-04:00,2025-10-15 15:00:00-04:00,6730.238768627513,7.25,10.875,-10.875
