sess_date,year,side,touched_at,level,anchor,cap,pnl_be60,exit_be60,mae,mfe,uw60,be_dd
2021-06-18,2021,upper,2021-06-17 21:45:00-04:00,14199.654863564487,20.75,31.125,-0.0,BE,-2.345,15.905,False,False
2021-06-23,2021,upper,2021-06-22 20:10:00-04:00,14282.770750377364,9.75,14.625,-0.0,BE,-5.729,9.521,True,True
2021-07-02,2021,upper,2021-07-02 09:01:00-04:00,14643.198381504113,56.75,85.125,-0.0,BE,-22.052,23.948,True,True
2021-07-06,2021,upper,2021-07-06 09:32:00-04:00,14769.97071956765,18.5,27.75,27.75,TP,-2.529,28.721,,False
2021-07-07,2021,upper,2021-07-07 03:06:00-04:00,14806.114928665245,15.75,23.625,-23.625,SL,-30.635,10.615,,False
2021-07-08,2021,lower,2021-07-08 03:46:00-04:00,14671.044908797909,34.5,51.75,0.0,BE,-35.295,26.955,True,True
2021-07-08,2021,lower,2021-07-08 05:22:00-04:00,14617.108007617651,62.25,93.375,0.0,BE,-47.608,33.142,True,True
2021-07-08,2021,lower,2021-07-08 06:15:00-04:00,14596.385071334755,52.0,78.0,0.0,BE,-26.885,43.865,False,False
2021-07-12,2021,upper,2021-07-12 08:20:00-04:00,14868.276518067436,17.5,26.25,-0.0,BE,-13.723,6.027,True,True
2021-07-12,2021,upper,2021-07-12 09:32:00-04:00,14887.391992382349,35.5,53.25,53.25,TP,0.0,63.142,,False
2021-07-15,2021,lower,2021-07-15 09:38:00-04:00,14814.252863178532,32.5,48.75,48.75,TP,-18.503,56.747,,False
2021-07-19,2021,lower,2021-07-18 19:34:00-04:00,14617.459438183269,31.0,46.5,0.0,BE,-2.209,44.291,False,False
2021-07-19,2021,lower,2021-07-19 07:44:00-04:00,14526.598481932564,32.75,49.125,0.0,BE,-22.848,28.902,False,False
2021-07-19,2021,lower,2021-07-19 09:33:00-04:00,14501.27928043235,51.75,77.625,0.0,BE,-45.029,72.221,True,True
2021-07-22,2021,upper,2021-07-22 09:42:00-04:00,14882.366829089071,24.5,36.75,-36.75,SL,-40.883,25.117,,False
2021-07-23,2021,upper,2021-07-23 05:39:00-04:00,15012.191094334647,19.25,28.875,28.875,TP,-3.309,30.191,False,False
2021-07-23,2021,upper,2021-07-23 10:38:00-04:00,15016.540561816731,59.75,89.625,-0.0,BE,-54.209,23.291,True,True
2021-07-26,2021,upper,2021-07-25 19:21:00-04:00,15120.247136821468,18.5,27.75,27.75,TP,-6.003,28.497,False,False
2021-07-27,2021,lower,2021-07-27 10:36:00-04:00,14921.995893743886,85.5,128.25,0.0,BE,-95.246,14.004,True,True
2021-07-30,2021,lower,2021-07-29 20:47:00-04:00,14826.22986524775,61.75,92.625,0.0,BE,-3.98,43.02,False,False
2021-08-12,2021,lower,2021-08-12 09:36:00-04:00,14956.42257734829,42.5,63.75,63.75,TP,-15.173,65.077,,False
2021-08-12,2021,lower,2021-08-12 09:45:00-04:00,14950.043816398447,42.5,63.75,63.75,TP,-8.794,67.956,,False
2021-08-16,2021,lower,2021-08-16 10:28:00-04:00,14942.374736532061,90.5,135.75,135.75,TP,-25.125,145.125,False,False
2021-08-19,2021,lower,2021-08-19 02:58:00-04:00,14740.080070638804,30.75,46.125,0.0,BE,-6.83,31.42,False,False
2021-08-19,2021,lower,2021-08-19 02:58:00-04:00,14749.254664502118,30.75,46.125,0.0,BE,-16.005,22.245,False,False
2021-08-20,2021,upper,2021-08-20 09:46:00-04:00,15017.266824294666,59.0,88.5,-0.0,BE,-80.733,8.517,True,True
2021-08-23,2021,upper,2021-08-23 01:11:00-04:00,15153.221444576327,6.0,9.0,9.0,TP,0.0,9.221,,False
2021-08-23,2021,upper,2021-08-23 09:32:00-04:00,15160.25267047382,16.75,25.125,-25.125,SL,-33.747,17.503,,False
